tsec,tnsec,seqNo,id,type,side,bid0,bid1,bid2,bid3,bid4,bid_size0,bid_size1,bid_size2,bid_size3,bid_size4,ask0,ask1,ask2,ask3,ask4,ask_size0,ask_size1,ask_size2,ask_size3,ask_size4
1780751797,849563000,11,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,33934000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,123096000,35000,17000,40000,18000
1780751797,949834000,12,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,35564000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,123096000,35000,17000,40000,18000
1780751798,50002000,13,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,35564000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,123096000,35000,17000,40000,18000
1780751798,150165000,14,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,35564000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,123096000,35000,17000,40000,18000
1780751798,250306000,15,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,35564000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,123096000,35000,17000,40000,18000
1780751798,349638000,16,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,35564000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,123096000,35000,17000,40000,18000
1780751798,450180000,17,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,35699000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,121088000,44000,17000,40000,18000
1780751798,549875000,18,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,78976000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,121115000,71000,17000,40000,18000
1780751798,650432000,19,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,35467000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,123925000,35000,17000,40000,18000
1780751798,749658000,20,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,35476000,89000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,123925000,35000,17000,40000,18000
1780751798,850017000,21,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,35467000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,123925000,35000,17000,40000,18000
1780751798,950133000,22,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,35467000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,123925000,35000,17000,40000,18000
1780751799,49788000,23,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,35467000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,123925000,35000,17000,40000,18000
1780751799,151108000,24,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,35467000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,123925000,35000,17000,40000,18000
1780751799,249822000,25,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,35449000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,123917000,35000,17000,40000,18000
1780751799,350074000,26,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,35449000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,123917000,35000,17000,40000,18000
1780751799,450751000,27,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,35449000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,123917000,35000,17000,40000,18000
1780751799,550043000,28,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,35449000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,123917000,35000,17000,40000,18000
1780751799,649880000,29,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,35449000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,123917000,35000,17000,40000,18000
1780751799,749999000,30,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,1800000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,123917000,35000,17000,40000,18000
1780751799,851351000,31,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,1800000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094512000000,167037000,35000,17000,40000,36000
1780751799,949960000,32,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094393000000,2068000,62000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094512000000,167116000,35000,17000,40000,18000
1780751800,50123000,33,1,P,N,6094450000000,6094449000000,6094448000000,6094393000000,6094296000000,2041000,44000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094512000000,174216000,35000,17000,40000,9000
1780751800,150547000,34,1,P,N,6094450000000,6094449000000,6094448000000,6094393000000,6094296000000,119000,44000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094512000000,184657000,35000,17000,40000,9000
1780751800,250139000,35,1,P,N,6093974000000,6093973000000,6093877000000,6093875000000,6093840000000,108000,54000,9000,18000,300000,6093975000000,6093976000000,6093977000000,6093990000000,6094012000000,510676000,35000,17000,9000,40000
1780751800,351213000,36,1,P,N,6093974000000,6093973000000,6093877000000,6093875000000,6093840000000,63000,36000,9000,18000,300000,6093975000000,6093976000000,6093977000000,6093990000000,6094012000000,523283000,35000,17000,9000,40000
1780751800,449805000,37,1,P,N,6093974000000,6093973000000,6093877000000,6093875000000,6093840000000,63000,36000,9000,18000,300000,6093975000000,6093976000000,6093977000000,6093990000000,6093993000000,536743000,35000,17000,9000,1665000
1780751800,549814000,38,1,P,N,6093974000000,6093973000000,6093877000000,6093875000000,6093840000000,63000,36000,9000,18000,300000,6093975000000,6093976000000,6093977000000,6093990000000,6093993000000,537378000,35000,17000,9000,1683000
1780751800,650151000,39,1,P,N,6093974000000,6093973000000,6093877000000,6093875000000,6093840000000,63000,36000,9000,18000,300000,6093975000000,6093976000000,6093977000000,6093990000000,6093993000000,537378000,35000,17000,9000,1683000
1780751800,750211000,40,1,P,N,6093974000000,6093973000000,6093965000000,6093877000000,6093875000000,73000,36000,9000,9000,18000,6093975000000,6093976000000,6093977000000,6093990000000,6093993000000,538285000,35000,17000,9000,1683000
1780751800,850428000,41,1,P,N,6092783000000,6092782000000,6092766000000,6092736000000,6092699000000,148000,72000,9000,19000,13000,6092784000000,6092813000000,6092838000000,6092839000000,6092861000000,226808000,2709000,103304000,27000,5018000
1780751800,949882000,42,1,P,N,6092600000000,6092599000000,6092539000000,6092505000000,6092460000000,987000,81000,17000,13000,9000,6092601000000,6092602000000,6092603000000,6092624000000,6092665000000,222281000,35000,17000,669000,5252000
1780751801,50402000,43,1,P,N,6092600000000,6092599000000,6092540000000,6092539000000,6092505000000,927000,81000,18000,17000,13000,6092601000000,6092602000000,6092603000000,6092624000000,6092665000000,226472000,35000,17000,687000,5270000
1780751801,151352000,44,1,P,N,6092600000000,6092599000000,6092540000000,6092539000000,6092505000000,927000,81000,18000,17000,13000,6092601000000,6092602000000,6092603000000,6092624000000,6092665000000,226462000,35000,17000,687000,5270000
1780751801,250174000,45,1,P,N,6092600000000,6092599000000,6092540000000,6092539000000,6092505000000,5207000,81000,18000,17000,13000,6092601000000,6092602000000,6092603000000,6092620000000,6092624000000,225702000,35000,17000,1675000,687000
1780751801,350832000,46,1,P,N,6092600000000,6092599000000,6092540000000,6092539000000,6092505000000,936000,81000,18000,17000,13000,6092601000000,6092602000000,6092603000000,6092620000000,6092624000000,225720000,35000,17000,1693000,687000
1780751801,450737000,47,1,P,N,6092600000000,6092599000000,6092540000000,6092539000000,6092505000000,927000,81000,18000,17000,13000,6092601000000,6092602000000,6092603000000,6092620000000,6092624000000,229978000,35000,17000,1693000,687000
1780751801,550497000,48,1,P,N,6092600000000,6092599000000,6092540000000,6092539000000,6092505000000,937000,81000,18000,17000,13000,6092601000000,6092602000000,6092603000000,6092620000000,6092624000000,230665000,35000,17000,1693000,687000
1780751801,650893000,49,1,P,N,6092600000000,6092599000000,6092540000000,6092539000000,6092505000000,927000,81000,18000,17000,13000,6092601000000,6092602000000,6092603000000,6092620000000,6092624000000,230993000,35000,17000,1693000,687000
1780751801,749913000,50,1,P,N,6092600000000,6092599000000,6092540000000,6092539000000,6092505000000,927000,81000,18000,17000,13000,6092601000000,6092602000000,6092603000000,6092620000000,6092624000000,230993000,35000,17000,1693000,687000
